comune,km,nome,piva,settore,ateco,attivita,fatturato,anno,personale,dipendenti,indirizzo,prova
Milano,20.3,MOVILOG SOCIETA' COOPERATIVA A MUTUALITA' PREVALENTE,10305070962,Facchinaggio,52.24,Movimentazione merci,1048497,,,,"Viale Premuda, 46","PG «movilog mutualita prevalente» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,SERVIZI LOGISTICI MILANO S.R.L.,09591880969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1013511,2023,731213,da 10 a 15,"Corso Buenos Aires, 56","PG «servizi logistici milano» in milano: 10 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,COMPANY GROUP SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11070480964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,996134,2024,74757,da 6 a 9,"Via Gaspare Spontini, 5","PG «company group» in milano: 2 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LAVORO E SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,10788770963,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,993392,2020,484614,nessuno,"Via Della Spiga, 20","PG «lavoro servizi» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,THALIA LOGIC SERVICE SOC. COOP.,08510340964,Facchinaggio,52.24,Movimentazione merci,935393,,,,"Viale Misurata, 16","PG «thalia logic service» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,THE COLOR IS S.R.L.,10084410967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,888062,2022,260974,1,"Piazzale Lugano, 6","PG «color is» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,DATA SOCIETA' COOPERATIVA,12070380964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,875515,,,,"Viale Lodovico Scarampo, 49","PG «data» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LA CELERE S.R.L.S.,11391970966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,827964,2022,291426,,"Via Hermada, 19","PG «la celere» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,OPPORTUNITA' LAVORO - SOCIETA' COOPERATIVA,10087510961,Facchinaggio,52.24,Movimentazione merci,805792,,,,"Via Cadore, 19","PG «opportunita lavoro» in milano: 11 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MASTERS ART SOCIETA' COOPERATIVA,10444700966,Facchinaggio,52.24,Movimentazione merci,799773,,,,"Via Gustavo Modena, 25","PG «masters art» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,L.G. COMPANY SRLS,11033720969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,781223,2024,551393,da 20 a 49,"Piazzale Martesana, 10","PG «lg company» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,FERMETAL SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,09192330968,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,769747,2017,1034943,nessuno,"Via Filippo Argelati, 10","PG «fermetal» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MOVINGSERVICE SOCIETA' COOPERATIVA,12627350965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,760288,,,,"Via Giovanni Masera, 10","PG «movingservice» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MC LOGISTICS S.R.L.,12688570964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,752805,2024,355551,da 10 a 15,"Via Pietro Colletta, 65","PG «mc logistics» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LOG & JOB SERVIZI ALLE IMPRESE SOCIETA' COOPERATIVA IN FORMA AB BREVIATA LOG &,09997700969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,742375,,,,"Via Gustavo Modena, 25","PG «log job servizi alle imprese ab breviata log» in milano: 21 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,V.T. SERVIZI S.R.L.S.,11173970960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,725693,2020,,2,"Via Giacomo Antonini, 6","PG «vt servizi» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ENERGI SRL,04455580235,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,716218,2023,588828,da 20 a 49,"Via Boccaccio Giovanni, 39","PG «energi» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,EASY SOCIETA' COOPERATIVA,09462170961,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,711189,,,,"Piazza Quattro Novembre, 4","PG «easy» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ECOGREEN A SOCIETA' COOPERATIVA,01686060193,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,645846,,,,"Via Arnaldo Fusinato, 10","PG «ecogreen» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,WORLDGARAGE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,13017900963,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,602019,2023,,,"Via Bernardo Quaranta, 45","PG «worldgarage» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MAXSERVICE S.R.L. - SEMPLIFICATA,10254810962,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,596074,2018,107388,da 3 a 5,"Foro Buonaparte, 59","PG «maxservice» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,J.D. GROUP S.R.L.S.,11174000965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,591059,2020,,1,"Via Giacomo Antonini, 6","PG «jd group» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MIRAY SOCIETA' COOPERATIVA,12064580967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,584674,,,,"Via Mecenate, 71","PG «miray» in milano: 17 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,QUATTR.0 SOC. COOP.,01802360162,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,539316,,,,"Piazza Quattro Novembre, 4","PG «quattr 0» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,F.T. SERVICE S.R.L.S.,11173980969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,528919,2020,,2,"Via Giacomo Antonini, 6","PG «ft service» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,INFINITY GROUP SRL,01803010196,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,508111,2024,65925,da 20 a 49,"Via Gaspare Spontini, 5","PG «infinity group» in milano: 1 risultati, nessuno con nome e comune coincidenti"
