comune,km,nome,piva,gia_25_09,cat_pg,fatturato,anno,personale,dipendenti,indirizzo_pg,indirizzo_legale,telefono,altri,fonte,livello,link_pg,ateco,attivita
Nogara,158.9,ITALCOMPANY SOCIETA' COOPERATIVA,04669110233,,"Facchinaggio, carico e scarico merci, portabagagli",1270372,,,,"Via Carlo Alberto dalla Chiesa, 34 - 37054 Nogara (VR)","Via Gen. C. A. Dalla Chiesa, 34",0442 513803,,ateco,esatto,https://www.paginegialle.it/italcompanysocietacooperativa-nogara,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Oppeano,162.0,META PROGETTI SRL,04346670237,,"Cooperative produzione, lavoro e servizi",1724762,2024,750303,da 20 a 49,"Via Isolo, 32 - 37050 Oppeano (VR)","Via Isolo, 32",045 6051221,,ateco,esatto,https://www.paginegialle.it/oppeano-vr/cooperativa-lavoro/meta-progetti_2,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Vado Ligure,163.5,SAAR DP GREEN S.R.L.,09626400965,,"Facchinaggio, carico e scarico merci, portabagagli",6999038,2024,1616417,da 16 a 19,"Via Bertola, 14 - 17047 Vado Ligure (SV)","Via Giulio Bertola, 14",019 21631,,categoria,esatto,https://www.paginegialle.it/vado-ligure-sv/petroli/alkion-terminal-vado-ligure,52.24.2,Movimento merci relativo a trasporti marittimi e fluviali
Limidi,170.9,P.R.F. SERVICE SRL,03790210367,,Magazzinaggio e logistica industriale - servizio conto terzi,617374,2022,416785,da 3 a 5,"Via Carpi Ravarino, 604 - 41019 Limidi (MO)","Via Lenin, 48/M",059 9111288,393 1121817,ateco,esatto,https://www.paginegialle.it/limidi-mo/facchinaggio/p-r-f-service-s-r-l,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Modena,175.5,ASSOSERVIZI GROUP SRL,03582701201,,"Facchinaggio, carico e scarico merci, portabagagli",9031826,2023,6585564,da 100 a 199,"Via Sallustio Crispo, 81 - 41123 Modena (MO)","Via Pietro Giardini, 141",059 762494,,categoria,esatto,https://www.paginegialle.it/modena-mo/facchinaggio/assoservizi-group,52.29.22,Servizi logistici relativi alla distribuzione delle merci
La Spezia,178.6,SOC. COOP. LA GIOVANE VALDELLORA ARL,00057510117,,"Cooperative produzione, lavoro e servizi",1717978,,,,"Via Valdellora, 83 - 19124 La Spezia (SP)","Via Valdellora, 83",0187 511180,,ateco,esatto,https://www.paginegialle.it/la-spezia-sp/autogru/giovane-valdellora,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Vicenza,185.1,EURO SERVIZI SAS DI ROBERTO PASQUALIN E C.,02050220223,,"Facchinaggio, carico e scarico merci, portabagagli",2777042,,,,"Via dei Montecchi, 23 - 36100 Vicenza (VI)","Via Dei Montecchi, 23",0444 962616,0444 962717,categoria,senza-titolare,https://www.paginegialle.it/vicenza-vi/facchinaggio/euro-servizi-s-a-s-di-roberto-pasqualin-and-c,52.24,Movimentazione merci
Vicenza,186.0,APOTHEMA SOCIETA' COOPERATIVA,01895040242,,"Facchinaggio, carico e scarico merci, portabagagli",1754435,,,,"Via Divisione Folgore, 32 - 36100 Vicenza (VI)","Via Divisione Folgore, 32",0444 926171,0444 926418 · 0444 924849 · 0444 926435 · 335 7415691,ateco,esatto,https://www.paginegialle.it/vicenza-vi/facchinaggio/apothema-soc-coop,52.24,Movimentazione merci
Castelvetro di Modena,187.1,FREE WORK SOCIETA' COOPERATIVA,03621600364,,"Facchinaggio, carico e scarico merci, portabagagli",6522050,,,,"Via Podgora, 2 - 41014 Castelvetro di Modena (MO)","Via Podgora, 2",059 797223,,ateco,esatto,https://www.paginegialle.it/castelvetro-di-modena-mo/screen-work-soc-coop,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Vicenza,188.0,LNG SERVIZI SRL,04109410243,,Magazzinaggio e logistica industriale - servizio conto terzi,1137143,2024,829823,da 20 a 49,"Piazza Araceli, 8 - 36100 Vicenza (VI)","Via Enrico Fermi, 225",0444 253213,,ateco,esatto,https://www.paginegialle.it/vicenza-vi/magazzinaggio/lng-servizi-s-r-l,52.24,Movimentazione merci
