comune,km,nome,piva,gia_25_09,cat_pg,fatturato,anno,personale,dipendenti,indirizzo_pg,indirizzo_legale,telefono,altri,fonte,livello,link_pg,ateco,attivita
Pessano con Bornago,22.3,ANTER LOGISTICS SRL,11660630960,si,"Facchinaggio, carico e scarico merci, portabagagli",2758363,2024,815185,1,"Via Grandi Achille, 1 - 20042 Pessano con Bornago (MI)","Via Verdi, 40",02 52807419,,ateco,altra-sede,https://www.paginegialle.it/pessano-con-bornago-mi/anter-logistics,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Busto Arsizio,22.5,ANCORA LAVORO SOCIETA' COOPERATIVA,03474560129,si,"Cooperative produzione, lavoro e servizi",1605394,,,,"Via Rosmini Don Antonio, 4 - 21052 Busto Arsizio (VA)","Via Rosmini, 4",02 91662919,,ateco,esatto,https://www.paginegialle.it/busto-arsizio-va/cooperativa-lavoro/ancora-lavoro-soc-coop,52.24,Movimentazione merci
Milano,23.0,COOPERATIVA ISONZO SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,02537400158,si,"Facchinaggio, carico e scarico merci, portabagagli",736561,,,,"Via Fantoli Gaudenzio, 11 - 20138 Milano (MI)","Via Gaudenzio Fantoli, 11/2",02 27012055,,ateco,esatto,https://www.paginegialle.it/milano-mi/facchinaggio/cooperativa-isonzo-societa-cooperativa-a-responsabilita,52.24,Movimentazione merci
Milano,23.4,LA NUOVA IMPRESA S.R.L.,05166370964,si,"Facchinaggio, carico e scarico merci, portabagagli",379773,2023,132547,da 6 a 9,"Via Fantoli Gaudenzio, 32/C - 20138 Milano (MI)","Via Fantoli Gaudenzio, 32/C",02 58018655,,categoria,esatto,https://www.paginegialle.it/milano-mi/facchinaggio/nuova-impresa,81.21,Pulizia generale (non specializzata) di edifici
Assago,26.5,NEW SERVICE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,12921000969,si,"Facchinaggio, carico e scarico merci, portabagagli",1125746,2024,1130207,da 20 a 49,"Via Alzaia Naviglio, 3 - 20057 Assago (MI)","Via Morandi, 2/4",02 8263444,,ateco,altra-sede,https://www.paginegialle.it/assago-mi/facchinaggio/new-service,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Trezzano Rosa,27.7,M S LOGISTICS S.R.L.,11932730960,si,"Facchinaggio, carico e scarico merci, portabagagli",9211763,2023,6712256,da 250 a 499,"Via Raffaello Sanzio, 13/F - 20060 Trezzano Rosa (MI)","Via R. Sanzio, 13F",02 51823033,,categoria,esatto,https://www.paginegialle.it/trezzano-rosa-mi/logistics,52.29.22,Servizi logistici relativi alla distribuzione delle merci
Suisio,27.9,VAN RIJSSEL TRANSPORTEN S.R.L.,02949030163,si,"Facchinaggio, carico e scarico merci, portabagagli",617452,2023,61609,1,"Via Tiraboschi, 45 - 24040 Suisio (BG)","Via Gerolamo Tiraboschi, 45",035 901040,,ateco,esatto,https://www.paginegialle.it/suisio-bg/van-rijssel-trasporten,52.24,Movimentazione merci
Opera,29.9,RE.LOG. SOCIETA' COOPERATIVA,11018260965,si,"Facchinaggio, carico e scarico merci, portabagagli",1902396,,,,"Via Giuseppe di Vittorio, 20 - 20073 Opera (MI)","Via Milano, 37/C",02 41409987,,ateco,altra-sede,https://www.paginegialle.it/opera-mi/facchinaggio/re-log-societa-cooperativa,52.24,Movimentazione merci
Arsago Seprio,31.4,VIEFFE GROUP SRL,03735830121,si,"Facchinaggio, carico e scarico merci, portabagagli",294541,2022,101150,da 10 a 15,"Via Boccaccio Giovanni, 6 - 21010 Arsago Seprio (VA)","Via Boccaccio, 6",0331 1443313,,ateco,esatto,https://www.paginegialle.it/arsago-seprio-va/facchinaggio/vieffe-group-s-r-l,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Paullo,32.3,GIDAF SOC. COOP.,04596760969,si,"Facchinaggio, carico e scarico merci, portabagagli",3274899,,,,"Via Manzoni Alessandro, 28 - 20067 Paullo (MI)","Via Manzoni, 28",02 49465364,,categoria,esatto,https://www.paginegialle.it/paullo-mi/facchinaggio/g-i-m,81.21,Pulizia generale (non specializzata) di edifici
Brembate di sopra,35.7,COLMACH S.R.L.,02933440162,si,"Facchinaggio, carico e scarico merci, portabagagli",7595612,2024,6720987,da 100 a 199,"Via XXV Aprile, 40 - 24030 Brembate di sopra (BG)","Via Xxv Aprile, 40",035 332511,,categoria,esatto,https://www.paginegialle.it/brembate-di-sopra-bg/promozione-industriale/colmach,82.92.2,Imballaggio e confezionamento di generi non alimentari
Dalmine,36.4,CASTELLANO S.R.L.S.,04345070165,si,"Cooperative produzione, lavoro e servizi",509937,2023,390689,da 10 a 15,"Via Umberto I, 19 - 24044 Dalmine (BG)","Via Umberto I, 19",035 19901457,,ateco,esatto,https://www.paginegialle.it/dalmine-bg/consulenza/castellano-s-r-l-s,52.24,Movimentazione merci
Verdello,38.2,ITAL COOP SERVICE SOCIETA' COOPERATIVA,02344350166,si,Ricerca e selezione del personale,879868,,,,"Corso Italia, 12 - 24049 Verdello (BG)","Corso Italia, 12",035 4821255,035 4821966,ateco,esatto,https://www.paginegialle.it/verdello-bg/ricerca-del-personale/ital-coop.-service,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Bergamo,40.8,EUROBICA - SOCIETA' COOPERATIVA,02758700161,si,"Cooperative produzione, lavoro e servizi",2324542,,,,"Via dei Caniana', 6 - 24127 Bergamo (BG)","Via Dei Caniana, 6/A",035 402856,035 2652842,ateco,esatto,https://www.paginegialle.it/bergamo-bg/eurobica-societa-cooperativa,52.24,Movimentazione merci
Cilavegna,48.2,LA NUOVA RINASCENTE - SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,00825300189,si,Imprese di pulizia,4097697,,,,"Via G. Galilei, 12 - 27024 Cilavegna (PV)","Via Galileo Galilei, 12/14",0381 969813,,ateco,esatto,https://www.paginegialle.it/nuovarinas,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Broni,62.3,PIEFFE SERVIZI SOCIETA' COOPERATIVA,02737450185,,"Facchinaggio, carico e scarico merci, portabagagli",5315802,,,,"Via Martiri delle Foibe, 14 - 27043 Broni (PV)","Via Martiri Delle Foibe, 14/16",0385 255619,,ateco,esatto,https://www.paginegialle.it/broni-pv/facchinaggio/pieffe-servizi,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Rovato,68.5,CONSORZIO SAN CARLO,04119120238,,"Facchinaggio, carico e scarico merci, portabagagli",2537850,2024,63966,,"Via Borsellino, 82 - 25038 Rovato (BS)","Via Borsellino, 82",030 7243424,338 5219340,categoria,esatto,https://www.paginegialle.it/rovato-bs/facchinaggio/agenzia-trasporti-sp,82.99.99,Altri servizi di sostegno alle imprese nca
Flero,81.6,TRASLOCHI SCABELLI GROUPS S.R.L.,03540190984,,"Facchinaggio, carico e scarico merci, portabagagli",2015030,2024,808337,da 10 a 15,"Via Petrarca, 34 - 25020 Flero (BS)","Via Francesco Petrarca, 34",030 2022480,,ateco,esatto,https://www.paginegialle.it/flero-bs/facchinaggio/traslochi-scabelli-groups-s-r-l,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Brescia,85.0,PFM DINAMICA S.R.L.,03956500981,,"Facchinaggio, carico e scarico merci, portabagagli",1444274,2024,1068823,da 20 a 49,"Via Serra Renato, 20 - 25128 Brescia (BS)","Via Renato Serra, 20",030 0997258,,ateco,esatto,https://www.paginegialle.it/brescia-bs/servizi-di-assemblaggio/pfm-dinamica-s-r-l,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Brescia,85.1,DOPPIA E SOC. COOPERATIVA,04405180987,,"Facchinaggio, carico e scarico merci, portabagagli",1515122,,,,"Piazza Almici Monsignor Giuseppe, 15 - 25124 Brescia (BS)","Piazza Mons Giuseppe Almici, 15",030 2388911,,categoria,esatto,https://www.paginegialle.it/brescia-bs/facchinaggio/societa-cooperativa-doppia-e_20753577,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Brescia,85.1,SOCIETA' BRESCIANA MULTISERVIZI SRL,04465390989,,"Facchinaggio, carico e scarico merci, portabagagli",260537,2024,72059,da 50 a 99,"Via Vittorio Emanuele II, 70 - 25121 Brescia (BS)","Via Vittorio Emanuele Ii, 70/72",030 2383767,339 4580017,ateco,esatto,https://www.paginegialle.it/brescia-bs/facchinaggio/societa-bresciana-multiservizi-s-r-l,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Brescia,86.3,FIND-JOB SOCIETA' COOPERATIVA,03557230178,,"Cooperative produzione, lavoro e servizi",319093,,,,"Via Tosetti Luigi, 6 - 25124 Brescia (BS)","Via Tosetti, 6",030 348984,,ateco,esatto,https://www.paginegialle.it/brescia-bs/cooperativa-lavoro/find-job-s.c.,52.24,Movimentazione merci
Castiglione delle Stiviere,108.6,DYNAMIC SOCIETA' COOPERATIVA,02606870208,,"Facchinaggio, carico e scarico merci, portabagagli",4299426,,,,"Via San Pietro, 14 - 46043 Castiglione delle Stiviere (MN)","Via San Pietro, 16",0376 638231,,ateco,esatto,https://www.paginegialle.it/castiglione-delle-stiviere-mn/facchinaggio/dynamic-societa-cooperativa,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Noceto,125.2,DIMO SERVICE SOCIETA' A RESPONSABILITA' LIMITATA,03038530345,,"Facchinaggio, carico e scarico merci, portabagagli",257190,2024,144998,da 6 a 9,"Via Ghiaie di Mezzo, 41 - 43015 Noceto (PR)","Via Ghiaie Di Mezzo, 41",375 6487934,,categoria,esatto,https://www.paginegialle.it/dimo-service-noceto-pr,81.21,Pulizia generale (non specializzata) di edifici
Borgaro Torinese,126.5,ABANTIQUO SRL,09237830014,,"Facchinaggio, carico e scarico merci, portabagagli",429327,2024,172310,da 3 a 5,"Via Raffaello Lambruschini, 5 - 10071 Borgaro Torinese (TO)","Via Raffaello, 5",011 4342535,338 3203385,categoria,esatto,https://www.paginegialle.it/torino-to-abantiqua,81.21,Pulizia generale (non specializzata) di edifici
San Polo,127.1,EKOS LOGISTICA SOCIETA' COOPERATIVA,02804260343,,"Facchinaggio, carico e scarico merci, portabagagli",304807,,,,"Piazza Repubblica, 3 - 43056 San Polo (PR)","Piazza Della Repubblica, 3",0521 813799,0521 346915,ateco,altra-sede,https://www.paginegialle.it/san-polo-pr/facchinaggio/ekos-logistica-societa-cooperativa_2,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Collecchio,130.3,PARMASERVICE S.R.L.,02753850342,,"Facchinaggio, carico e scarico merci, portabagagli",5930097,2024,5367422,da 100 a 199,"Via VIII Marzo, 57 - 43044 Collecchio (PR)","Via 8 Marzo, 57",0521 936937,,ateco,esatto,https://www.paginegialle.it/collecchio-pr/facchinaggio/parmaservice-s-r-l,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Torino,130.5,MARYCOOP SOCIETA' COOPERATIVA,11400890015,,"Facchinaggio, carico e scarico merci, portabagagli",651130,,,,"Via Gropello Giambattista (Conte di Borgone), 17/BIS - 10138 Torino (TO)","Via Fratel Teodoreto, 1/H",011 789071,,categoria,esatto,https://www.paginegialle.it/torino-to/facchinaggio/marycoop,81.21,Pulizia generale (non specializzata) di edifici
Torino,134.3,C.S.A. - COOPERATIVA CARICO E SCARICO AUTOVEICOLI - SOCIETA' COOPERATIVA,00509530010,,"Facchinaggio, carico e scarico merci, portabagagli",2644376,,,,"Via Montezemolo, 26 - 10136 Torino (TO)","Via Montezemolo, 26",011 362532,,ateco,esatto,https://www.paginegialle.it/torino-to/facchinaggio/c.s.a.-cooperativa-carico-scarico-autoveicoli,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Torino,134.5,TECNOSERVICE - SOCIETA' COOPERATIVA,06078740013,,"Cooperative produzione, lavoro e servizi",3350243,,,,"Via Barletta, 99/E - 10136 Torino (TO)","Via Barletta, 99/E",011 2229052,011 2059635 · 349 8013056,ateco,esatto,https://www.paginegialle.it/torino-to/cooperativa-lavoro/tecnoservice-societa-cooperativa-a-r-l,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Genova,134.9,LA LIGURE FACCHINI SOCIETA' COOPERATIVA,01148740101,,"Cooperative produzione, lavoro e servizi",1368468,,,,"Via Rivarolo, 45 - 16161 Genova (GE)","Via Rivarolo, 45/15",010 7411008,,ateco,esatto,https://www.paginegialle.it/genova-ge/cooperativa-lavoro/ligure-facchini,52.24,Movimentazione merci
Genova,138.5,AZ LOGISTIC SOCIETA' COOPERATIVA A R.L.,10968750967,,"Facchinaggio, carico e scarico merci, portabagagli",8891583,,,,"Salita Viale Salvatore, 1 - 16128 Genova (GE)","Via Curtatone, 2",010 3753774,,categoria,esatto,https://www.paginegialle.it/genova-ge/facchinaggio/az-logistic,82.99.99,Altri servizi di sostegno alle imprese nca
Grugliasco,138.6,SOCIETA' COOPERATIVA EUROPA,09800980014,,"Facchinaggio, carico e scarico merci, portabagagli",2481358,,,,"Strada del Portone, 30 - 10095 Grugliasco (TO)","Strada Del Portone, 30",011 3975557,,categoria,esatto,https://www.paginegialle.it/grugliasco-to/facchinaggio/societa-cooperativa-europa,82.99.99,Altri servizi di sostegno alle imprese nca
